Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,SalePrice_binned
15,527182190,120,RL,68.0,6820,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,BrkFace,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,368.0,BLQ,1120.0,0.0,1488.0,GasA,TA,Y,SBrkr,1502,0,0,1502,1.0,0.0,1,1,1,1,Gd,4,Typ,0,Gd,Attchd,1985.0,RFn,2.0,528.0,TA,TA,Y,0,54,0,0,140,0,Ex,MnPrv,Shed,0,6,2010,WD ,Normal,212000,0.32601142361047447,-3.138594424255671,0.8824756763879055,2.8198912723223546,-0.3140095215818587,2.0
16,527216070,60,RL,47.0,53504,Pave,Grvl,IR2,HLS,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,2Story,8,5,2003,2003,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603.0,Ex,TA,PConc,Gd,TA,Gd,ALQ,1416.0,Unf,0.0,234.0,1650.0,GasA,Ex,Y,SBrkr,1690,1589,0,3279,1.0,0.0,3,1,4,1,Ex,12,Mod,1,Gd,BuiltIn,2003.0,Fin,3.0,841.0,TA,TA,Y,503,36,0,0,210,0,Ex,MnPrv,Shed,0,6,2010,WD ,Normal,538000,9.031569441583137,1.6352996909825916,-1.7782868458925942,4.13891521057468,-1.0834840596382076,3.0
17,527225035,50,RL,152.0,12134,Pave,Grvl,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,8,7,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,Gd,TA,Wood,Gd,TA,Av,GLQ,427.0,Unf,0.0,132.0,559.0,GasA,Gd,Y,SBrkr,1080,672,0,1752,0.0,0.0,2,0,4,1,TA,8,Typ,0,Gd,Basment,1988.0,RFn,2.0,492.0,TA,TA,Y,325,12,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,WD ,Normal,164000,1.5374115804406265,0.9755214185165472,0.03959374959342152,2.1218379715431825,1.5107063507938443,2.0
18,527258010,20,RL,88.0,11394,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1445.0,Unf,0.0,411.0,1856.0,GasA,Ex,Y,SBrkr,1856,0,0,1856,1.0,0.0,1,1,1,1,Ex,8,Typ,1,Ex,Attchd,2010.0,Fin,3.0,834.0,TA,TA,Y,113,0,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,New,Partial,394432,5.310770302310676,-3.4455345562501396,0.7996375297408995,1.641825387898155,1.195278139684523,3.0
19,527276150,20,RL,140.0,19138,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,LwQ,120.0,Unf,0.0,744.0,864.0,GasA,Ex,Y,SBrkr,864,0,0,864,0.0,0.0,1,0,2,1,TA,4,Typ,0,Gd,Detchd,1951.0,Unf,2.0,400.0,TA,TA,Y,0,0,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,WD ,Normal,141000,-2.576915385654745,-1.3093837836662925,-1.0030348655185057,0.7908043221659563,3.069645113755915,1.0
20,527302110,20,RL,85.0,13175,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1978,1988,Gable,CompShg,Plywood,Plywood,Stone,119.0,TA,TA,CBlock,Gd,TA,No,ALQ,790.0,Rec,163.0,589.0,1542.0,GasA,TA,Y,SBrkr,2073,0,0,2073,1.0,0.0,2,0,3,1,TA,7,Min1,2,TA,Attchd,1978.0,Unf,2.0,500.0,TA,TA,Y,349,0,0,0,0,0,Ex,MnPrv,Shed,0,2,2010,WD ,Normal,210000,2.585923407023279,-1.8187707526862333,-1.6576808023642975,2.323491918537637,1.7612780753017394,2.0
21,527358140,20,RL,105.0,11751,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,705.0,Unf,0.0,1139.0,1844.0,GasA,Ex,Y,SBrkr,1844,0,0,1844,0.0,0.0,2,0,3,1,TA,7,Typ,1,TA,Attchd,1977.0,RFn,2.0,546.0,TA,TA,Y,0,122,0,0,0,0,Ex,MnPrv,Shed,0,1,2010,COD,Normal,190000,2.3817074279597077,-0.8963081084331133,-1.3357538323079285,0.9063726428629186,3.607507182942149,2.0
22,527358200,85,RL,85.0,10625,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,7,6,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,81.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,885.0,LwQ,168.0,0.0,1053.0,GasA,TA,Y,SBrkr,1173,0,0,1173,1.0,0.0,2,0,3,1,Gd,6,Typ,2,TA,Attchd,1974.0,RFn,2.0,528.0,TA,TA,Y,0,120,0,0,0,0,Ex,MnPrv,Shed,0,1,2010,WD ,Family,170000,0.6860036337552972,-1.6130778116867752,-0.2053798513623902,2.9207621538352746,0.6410387286731687,2.0
23,527368020,60,FV,68.0,7500,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,533.0,Unf,0.0,281.0,814.0,GasA,Ex,Y,SBrkr,814,860,0,1674,1.0,0.0,2,1,3,1,Gd,7,Typ,0,Gd,Attchd,2000.0,RFn,2.0,663.0,TA,TA,Y,0,96,0,0,0,0,Ex,MnPrv,Shed,0,1,2010,WD ,Normal,216000,1.4263035122482346,0.49803081632461216,2.435368531826147,2.659046602368555,0.6001684701421339,3.0
24,527402200,20,RL,68.0,11241,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578.0,Unf,0.0,426.0,1004.0,GasA,Ex,Y,SBrkr,1004,0,0,1004,1.0,0.0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2.0,480.0,TA,TA,Y,0,0,0,0,0,0,Ex,MnPrv,Shed,700,3,2010,WD ,Normal,149000,-1.196407179273344,-2.3563366533774235,-0.01643100120869555,2.1743150183274706,1.4393886106715343,1.0
25,527402250,20,RL,68.0,12537,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,GLQ,734.0,Unf,0.0,344.0,1078.0,GasA,Ex,Y,SBrkr,1078,0,0,1078,1.0,0.0,1,1,3,1,TA,6,Typ,1,Fa,Attchd,1971.0,Fin,2.0,500.0,TA,TA,Y,0,0,0,0,0,0,Ex,MnPrv,Shed,0,4,2010,WD ,Normal,149900,-0.4471057046225313,-1.413764684772038,0.44728946620379834,2.4459773125784783,1.0281382652343214,1.0
26,527403020,20,RL,65.0,8450,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,BLQ,775.0,Unf,0.0,281.0,1056.0,GasA,Ex,Y,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,TA,6,Typ,1,Fa,Attchd,1968.0,Unf,1.0,304.0,TA,TA,Y,0,85,184,0,0,0,Ex,MnPrv,Shed,0,7,2010,WD ,Normal,142000,-1.872337454485402,-1.3031634889008623,-0.9972879587067288,2.1863406846408364,1.2489042668442096,1.0
27,527404120,20,RL,70.0,8400,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,ALQ,804.0,Rec,78.0,0.0,882.0,GasA,TA,Y,SBrkr,882,0,0,882,1.0,0.0,1,0,2,1,TA,4,Typ,0,Gd,Attchd,1970.0,Fin,2.0,525.0,TA,TA,Y,240,0,0,0,0,0,Ex,MnPrv,Shed,0,4,2010,WD ,Normal,126000,-2.110818110100395,-2.890918204573426,0.5683402018763842,2.3131139791856405,0.8423300440297273,0.0
28,527425090,20,RL,70.0,10500,Pave,Grvl,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,ALQ,432.0,Unf,0.0,432.0,864.0,GasA,TA,Y,SBrkr,864,0,0,864,0.0,0.0,1,0,3,1,TA,5,Typ,1,Po,Attchd,1979.0,Unf,0.0,0.0,TA,TA,Y,0,0,0,0,0,0,Ex,MnPrv,Shed,0,4,2010,ConLI,Normal,115000,-3.33832372263118,-0.9123806449643199,0.2668934131676183,1.5978831613529076,2.0602822371052816,0.0
29,527427230,120,RH,26.0,5858,Pave,Grvl,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1051.0,BLQ,0.0,354.0,1405.0,GasA,Ex,Y,SBrkr,1337,0,0,1337,1.0,0.0,2,0,2,1,Gd,5,Typ,1,Fa,Attchd,1999.0,Fin,2.0,511.0,TA,TA,Y,203,68,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,WD ,Normal,184000,1.0223180330783501,-2.440652372827311,2.3443907288444015,1.9861195951990545,0.48969183886158546,2.0
30,527451180,160,RM,21.0,1680,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,TA,TA,CBlock,TA,TA,No,Rec,156.0,Unf,0.0,327.0,483.0,GasA,TA,Y,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,TA,5,Typ,0,Gd,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,275,0,0,0,0,0,Ex,MnPrv,Shed,0,2,2010,COD,Normal,96000,-2.627253762947609,0.36820773830312353,3.492034180868623,2.803210395937836,-0.11609187107479808,0.0
31,527451330,160,RM,21.0,1680,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,300.0,Unf,0.0,225.0,525.0,GasA,TA,Y,SBrkr,525,567,0,1092,0.0,0.0,1,1,3,1,TA,6,Typ,0,Gd,Detchd,1997.0,Unf,1.0,320.0,TA,TA,Y,0,0,0,0,0,0,Ex,MnPrv,Shed,0,3,2010,WD ,Normal,105500,-2.386706479153309,1.0447897870200162,3.3896100930020943,2.7085850291044733,0.055203283797413016,0.0
32,527451410,160,RM,21.0,1680,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,ImStucc,BrkFace,381.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,525.0,525.0,GasA,TA,Y,SBrkr,525,567,0,1092,0.0,0.0,1,1,3,1,TA,6,Typ,0,Gd,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,0,0,0,0,0,0,Ex,MnPrv,Shed,0,3,2010,WD ,Family,88000,-2.7033204257818975,1.4688214007795841,3.2492837089432984,2.396783586737704,0.5313780283333928,0.0
33,527452190,120,RL,53.0,4043,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,360.0,Unf,0.0,709.0,1069.0,GasA,TA,Y,SBrkr,1069,0,0,1069,0.0,0.0,2,0,2,1,TA,4,Typ,1,Fa,Attchd,1977.0,RFn,2.0,440.0,TA,TA,Y,0,55,0,0,165,0,Ex,MnPrv,Shed,0,7,2010,WD ,Normal,127500,-1.0118187952936815,-1.1091998918479784,1.6918400538889968,1.1636325682039506,1.6398113348680996,0.0
34,527453130,160,RL,24.0,2280,Pave,Grvl,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,ALQ,514.0,Unf,0.0,341.0,855.0,GasA,TA,Y,SBrkr,855,601,0,1456,0.0,0.0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,1975.0,Unf,2.0,440.0,TA,TA,Y,173,0,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,WD ,Normal,149900,-0.6131549763474247,1.1552744459842121,2.627617462148131,2.6844014727600993,-0.06506086392170839,1.0
35,527453150,120,RL,24.0,2280,Pave,Grvl,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,BrkFace,0.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,836.0,836.0,GasA,Ex,Y,SBrkr,836,0,0,836,0.0,0.0,1,0,2,1,TA,4,Typ,0,Gd,Attchd,1975.0,Unf,1.0,308.0,TA,TA,Y,0,30,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,WD ,Normal,120000,-3.03595890877536,-0.8459757773337373,2.8592158980424474,0.9614312905832213,1.8630721230843734,0.0
36,527454200,160,RL,24.0,2280,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,5,1978,1978,Gable,CompShg,Plywood,Brk Cmn,BrkFace,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,311.0,Unf,0.0,544.0,855.0,GasA,Fa,Y,SBrkr,855,601,0,1456,0.0,0.0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1978.0,Unf,2.0,440.0,TA,TA,Y,26,0,0,0,0,0,Ex,MnPrv,Shed,0,7,2010,WD ,Normal,146000,-0.5075324064233979,1.6168446264072454,2.827925778209665,2.1677802801465518,0.4655882586639142,1.0
37,528108120,60,RL,102.0,12858,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,Ex,TA,PConc,Ex,TA,No,Unf,0.0,Unf,0.0,1590.0,1590.0,GasA,Ex,Y,SBrkr,1627,707,0,2334,0.0,0.0,2,1,3,1,Ex,10,Typ,1,Gd,Attchd,2009.0,Fin,3.0,751.0,TA,TA,Y,144,133,0,0,0,0,Ex,MnPrv,Shed,0,1,2010,New,Partial,376162,5.7366944739804415,1.5483825707776948,1.0202230587440448,0.8726216160711818,3.107509236569203,3.0
